valid_miles,transport_type,weight,pickup_date,origin_kma,destination_kma,predicted_rate
744.4786,MKPFX,32616.95,2022-09-22 08:42:00,QWBPO,FKQGG,4.687641303887281
748.715,MKPFX,39950.0,2022-09-22 08:42:00,LFUHN,EKGTE,2.0420252457927637
650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2.596936376620569
650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2.596936376620569
650.192,MKPFX,39950.0,2022-09-22 08:42:00,QGHCU,EKGTE,2.596936376620569
1793.6996,MKPFX,6157.55,2022-09-22 08:42:00,AWWEE,NTODX,4.340109752641107
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.330399221572957
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.330399221572957
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.330399221572957
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.330399221572957
885.33,MKPFX,41047.25,2022-09-22 08:42:00,OKPES,JHFLR,6.330399221572957
2310.9231,GJROY,39950.0,2022-09-22 08:42:00,RONUZ,OQOLJ,5.344493597295498
2310.9231,GJROY,39950.0,2022-09-22 08:42:00,RONUZ,OQOLJ,5.344493597295498
2344.3249,GJROY,39950.0,2022-09-22 08:42:00,RONUZ,OQOLJ,5.3163908417489285
1073.6095,MKPFX,40425.0,2022-09-22 08:42:00,OMSVL,CTJQI,4.417704373175506
1073.6095,MKPFX,40425.0,2022-09-22 08:42:00,OMSVL,CTJQI,4.417704373175506
914.1838,MKPFX,38050.0,2022-09-22 08:42:00,GFKMC,ZSZDM,7.366933415288587
836.38,MKPFX,39950.0,2022-09-22 08:42:00,OQOLJ,RCDSS,2.492759723107002
748.715,MKPFX,39950.0,2022-09-22 08:42:00,LFUHN,EKGTE,2.0420252457927637
551.491,MKPFX,39950.0,2022-09-22 08:42:00,OKWUS,EKGTE,2.217802481732915
95.6063,MKPFX,33300.0,2022-09-22 08:42:00,PEXPT,PEXPT,12.776425841389145
107.826,MKPFX,41850.0,2022-09-22 08:42:00,KWGZQ,VCEUE,7.306712695747219
1185.527,MKPFX,14300.0,2022-09-22 08:42:00,HRQLD,DLGVW,6.809528892937365
1185.527,MKPFX,14300.0,2022-09-22 08:42:00,HRQLD,DLGVW,6.809528892937365
196.47,MKPFX,33300.0,2022-09-22 08:42:00,NUTZC,RONUZ,4.656484274915398
417.3591,MKPFX,34250.0,2022-09-22 08:42:00,CXAKM,RUEXZ,5.270738308256654
111.1635,MKPFX,33300.0,2022-09-22 08:42:00,PEXPT,OKWUS,11.82788841147405
2429.756,MKPFX,23800.0,2022-09-22 08:42:00,HRQLD,QGHCU,5.438933890929517
1358.543,MKPFX,22850.0,2022-09-22 08:42:00,XYHVH,QCLHO,3.892074627208516
453.947,MKPFX,20262.2,2022-09-22 08:42:00,QUERU,QWBPO,2.251260129220997
81.126,MKPFX,5443.15,2022-09-22 08:42:00,GLVAR,NUTZC,11.662074546587291
141.1565,MKPFX,33300.0,2022-09-22 08:42:00,PEXPT,OKWUS,10.34406985096388
885.508,GJROY,38050.0,2022-09-22 08:42:00,QUERU,UKOGN,6.120855126459929
141.1565,MKPFX,33300.0,2022-09-22 08:42:00,PEXPT,OKWUS,10.34406985096388
535.7291,MKPFX,31465.55,2022-09-22 08:42:00,TXLFD,FKQGG,4.649830732775623
515.8821,MKPFX,9882.5,2022-09-22 08:42:00,MJGXM,FPZNC,2.921293332953324
118.15,MKPFX,41850.0,2022-09-22 08:42:00,KWGZQ,VCEUE,6.812979077379455
299.7634,MKPFX,33300.0,2022-09-22 08:42:00,PEXPT,ZSZDM,8.298067961176303
107.826,MKPFX,41850.0,2022-09-22 08:42:00,KWGZQ,VCEUE,7.306712695747219
114.3408,MKPFX,33300.0,2022-09-22 08:42:00,PEXPT,OKWUS,11.414218751617113
141.1565,MKPFX,33300.0,2022-09-22 08:42:00,PEXPT,OKWUS,10.34406985096388
665.1618,MKPFX,18423.0,2022-09-22 08:42:00,GLVAR,KMMBI,6.3460280343219395
604.624,MKPFX,5550.5,2022-09-22 08:42:00,RUEXZ,VCEUE,4.7346495108510815
552.3721,MKPFX,18853.35,2022-09-22 08:42:00,IZYJN,RMBXT,4.819238243454391
227.7268,KFEGT,44035.0,2022-09-22 08:42:00,NPCXM,MJGXM,6.5849185193007225
1551.3971,MKPFX,37230.15,2022-09-22 08:42:00,NSBMC,JESUD,4.080542636241166
542.2261,MKPFX,22850.0,2022-09-22 08:42:00,QCLHO,GFKMC,3.656419901548489
1620.8528,MKPFX,37230.15,2022-09-22 08:42:00,NSBMC,FPZNC,4.113857558167471
806.0132,MKPFX,12933.9,2022-09-22 08:42:00,RCDSS,OKWUS,4.470280439386017
806.0132,MKPFX,12933.9,2022-09-22 08:42:00,RCDSS,OKWUS,4.470280439386017
1826.9767,MKPFX,38994.3,2022-09-22 08:42:00,TXLFD,NNJFK,3.9768626881992004
1031.557,MKPFX,40425.0,2022-09-22 08:42:00,OMSVL,QCLHO,5.0327608116273
1791.5103,MKPFX,23800.0,2022-09-22 08:42:00,XNCMK,AWWEE,2.1675904312607734
857.473,MKPFX,40425.0,2022-09-22 08:42:00,OMSVL,DUXGP,5.413053891858509
1307.6439,MKPFX,33300.0,2022-09-22 08:42:00,HRQLD,DNDBK,6.512715893360929
1214.9326,MKPFX,33300.0,2022-09-22 08:42:00,HRQLD,UKWZA,7.133829836686551
